"","vaccine","study","gse_id","genes","process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","base_mean","l2fc","lfcse","stat","pvalue","padj","direction","filter"
"1","BNT","BNT (V3, D1)","GSE199750","ACOD1","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1.73115642397076,3.32570406323056,0.686560665665136,4.84400611562656,1.27247012870239e-06,2.67142682995906e-05,"UP","p<0.05"
"2","BNT","BNT (V2, D1)","GSE199750","ACOD1","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1.73115642397076,3.7511856783858,0.470134745555364,7.97895861526799,1.4757303987763e-15,6.39930363832998e-14,"UP","p<0.05"
"3","BNT","BNT-MO (V3, D1)","GSE199750","ACOD1","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1.73115642397076,3.28848661024731,0.885978196020499,3.71170151254064,0.00020587067464888,0.00158485832003255,"UP","p<0.05"
"4","BNT","BNT (V2, D1)","GSE199750","ADAR","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,13585.7361609873,0.699994242435992,0.0757706507961321,9.23832955215589,2.50375332180585e-20,1.7163453909002e-18,"NEUTRAL","p<0.05"
"5","ChAd","ChAd-BNT (V3, D1)","GSE199750","ADAR","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,13585.7361609873,1.01725379161947,0.222577572943994,4.57033374101637,4.86948110482106e-06,0.00030498544998369,"UP","p<0.05"
"6","BNT","BNT-MO (V3, D1)","GSE199750","ADAR","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,13585.7361609873,0.936832946202485,0.144565350294004,6.48034224174215,9.15147961044494e-11,7.03995938791819e-09,"NEUTRAL","p<0.05"
"7","BNT","BNT (V3, D1)","GSE199750","ADAR","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,13585.7361609873,0.78068463330291,0.106518919279541,7.3290701650299,2.31755033715297e-13,2.01856719035167e-11,"NEUTRAL","p<0.05"
"8","ChAd","ChAd (V1, D3)","GSE201533","ADAR","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,30491.4561480134,0.618852558050942,0.0682663963814807,9.06525891000193,1.24308673749386e-19,2.57201188549256e-17,"NEUTRAL","p<0.05"
"9","ChAd","ChAd-BNT (V2, D3)","GSE201533","ADAR","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,30491.4561480134,0.870077109866485,0.090422666008832,9.62233418091765,6.43539401331055e-22,3.43828801255598e-19,"NEUTRAL","p<0.05"
"10","ChAd","ChAd (V2, D1)","GSE199750","ADAR","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,13585.7361609873,0.862523998110195,0.172358989631954,5.00422983420815,5.60858092077582e-07,3.03474659195548e-05,"NEUTRAL","p<0.05"
"11","BNT","BNT (V2, D1)","GSE199750","ADARB1","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,390.444701991651,-0.248668651757614,0.0499170253338585,-4.98164003352464,6.30476347156478e-07,6.7931230327034e-06,"NEUTRAL","p<0.05"
"12","ChAd","ChAd-BNT (V2, D7)","GSE201533","ADARB1","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2520.68661026528,0.235805288415872,0.0853204436089208,2.76376069370574,0.0057139428197422,0.0249833999079158,"NEUTRAL","p<0.05"
"13","ChAd","ChAd (V1, D3)","GSE201533","ADARB1","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2520.68661026528,-0.346531101120259,0.0827596666774433,-4.18719788312908,2.82419580699103e-05,0.00024209504048066,"NEUTRAL","p<0.05"
"14","BNT","BNT-MO (V3, D1)","GSE199750","ADARB1","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,390.444701991651,-0.345873390548157,0.0972640060313038,-3.55602657818597,0.00037650600541209,0.00257662129288187,"NEUTRAL","p<0.05"
"15","ChAd","ChAd-BNT (V3, D1)","GSE199750","ANKHD1","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,119.425711380505,0.754061171684198,0.192954656487469,3.90797084357055,9.30745349409746e-05,0.00289843981226105,"NEUTRAL","p<0.05"
"16","ChAd","ChAd (V2, D1)","GSE199750","ANKHD1","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,119.425711380505,0.496965608189261,0.146818639629626,3.38489451641113,0.00071205612279357,0.00853865367538329,"NEUTRAL","p<0.05"
"17","ChAd","ChAd-BNT (V3, D1)","GSE199750","APOBEC3A","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2956.084247209,1.18884736715911,0.330280363564104,3.59950968422733,0.00031881776052351,0.00718774479918382,"UP","p<0.05"
"18","BNT","BNT (V2, D1)","GSE199750","APOBEC3A","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2956.084247209,0.943678086293073,0.113536870664802,8.31164432106923,9.4384965842686e-17,4.67757181371026e-15,"NEUTRAL","p<0.05"
"19","ChAd","ChAd (V1, D3)","GSE201533","APOBEC3A","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1373.23833454711,1.83739724430079,0.47222056197598,3.8909725502259,9.98432287900547e-05,0.0007139026937422,"UP","p<0.05"
"20","ChAd","ChAd-BNT (V2, D3)","GSE201533","APOBEC3A","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1373.23833454711,2.36678058603441,0.62553930645628,3.78358411950541,0.00015458604493562,0.00184334035231981,"UP","p<0.05"
"21","ChAd","ChAd (V2, D1)","GSE199750","APOBEC3A","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2956.084247209,1.31976099724831,0.258243915608701,5.11052116808842,3.21271310499429e-07,1.88751647452593e-05,"UP","p<0.05"
"22","BNT","BNT (V3, D1)","GSE199750","APOBEC3A","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2956.084247209,0.935703856551649,0.158072413384374,5.9194633428944,3.22993817774665e-09,1.30239336334309e-07,"NEUTRAL","p<0.05"
"23","BNT","BNT-MO (V3, D1)","GSE199750","APOBEC3A","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2956.084247209,1.00863016056488,0.214525110802788,4.70168809977734,2.58019420612664e-06,4.38237981279108e-05,"UP","p<0.05"
"24","ChAd","ChAd (V2, D1)","GSE199750","APOBEC3F","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,403.904900695728,0.696738084520348,0.145479001244868,4.78926909422213,1.67389887850559e-06,7.45297845949865e-05,"NEUTRAL","p<0.05"
"25","BNT","BNT (V3, D1)","GSE199750","APOBEC3F","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,403.904900695728,0.470011248331458,0.0912330037146171,5.15176777256709,2.5804244831061e-07,6.56886319503749e-06,"NEUTRAL","p<0.05"
"26","BNT","BNT-MO (V3, D1)","GSE199750","APOBEC3F","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,403.904900695728,0.502886715977276,0.123890311959023,4.0591286600651,4.92561701838244e-05,0.00049604469906098,"NEUTRAL","p<0.05"
"27","BNT","BNT (V2, D1)","GSE199750","APOBEC3F","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,403.904900695728,0.57858314575273,0.06412816655175,9.02229358585866,1.84191823442233e-19,1.16821495554941e-17,"NEUTRAL","p<0.05"
"28","ChAd","ChAd (V1, D7)","GSE201533","APOBEC3F","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1008.41325244086,-0.201346846898298,0.0627503080464658,-3.20869893975983,0.00133337029369015,0.0139078330958982,"NEUTRAL","p<0.05"
"29","ChAd","ChAd-BNT (V2, D7)","GSE201533","APOBEC3F","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1008.41325244086,0.332155158696688,0.0922539854293539,3.60044237818913,0.00031767622706216,0.00247175750457676,"NEUTRAL","p<0.05"
"30","ChAd","ChAd-BNT (V2, D3)","GSE201533","APOBEC3F","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1008.41325244086,0.477299387616748,0.118028582085704,4.04393053938549,5.25624975273782e-05,0.00079355343598241,"NEUTRAL","p<0.05"
"31","ChAd","ChAd-BNT (V3, D1)","GSE199750","APOBEC3F","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,403.904900695728,0.600368225401196,0.190580232347508,3.1502124748514,0.00163151760366184,0.022951386756371,"NEUTRAL","p<0.05"
"32","ChAd","ChAd-BNT (V2, D7)","GSE201533","APOBEC3H","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,380.138546618716,0.547531577151509,0.150534266303862,3.63725542758674,0.00027555863553809,0.00220195047608632,"NEUTRAL","p<0.05"
"33","ChAd","ChAd-BNT (V2, D7)","GSE201533","ARG2","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,783.768500652782,-0.201176554084424,0.0747176969002573,-2.69248869318041,0.0070920940301132,0.0295642255256171,"NEUTRAL","p<0.05"
"34","ChAd","ChAd-BNT (V2, D7)","GSE201533","ARID5A","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2805.60628906815,-0.615439912636955,0.151301365742171,-4.0676428108766,4.74911033793979e-05,0.00051870748574635,"NEUTRAL","p<0.05"
"35","ChAd","ChAd (V1, D7)","GSE201533","ARID5A","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2805.60628906815,0.284499766152446,0.102359886255711,2.77940682194312,0.00544582746821079,0.0401475835659511,"NEUTRAL","p<0.05"
"36","ChAd","ChAd (V2, D1)","GSE199750","AXL","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,12.2155179457956,1.02593344533977,0.356367826125677,2.87886102540011,0.00399114169748042,0.0302735262905142,"UP","p<0.05"
"37","ChAd","ChAd (V1, D3)","GSE201533","AXL","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,90.6570514110128,1.52606493185392,0.203745804743162,7.49004345771753,6.88508129252937e-14,4.7990481519843e-12,"UP","p<0.05"
"38","ChAd","ChAd-BNT (V2, D3)","GSE201533","AXL","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,90.6570514110128,1.86310785312848,0.26804818872831,6.95064518796993,3.63619355370491e-12,4.08997349777545e-10,"UP","p<0.05"
"39","BNT","BNT (V3, D1)","GSE199750","B2M","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,108974.907323151,0.46048614037897,0.0782580539044652,5.88420127263983,3.99980853522812e-09,1.58772060839055e-07,"NEUTRAL","p<0.05"
"40","ChAd","ChAd-BNT (V3, D1)","GSE199750","B2M","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,108974.907323151,0.464517462360612,0.163529109166608,2.84057966638434,0.00450316236403119,0.0456810788129224,"NEUTRAL","p<0.05"
"41","BNT","BNT (V2, D1)","GSE199750","B2M","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,108974.907323151,0.466598868093243,0.0560482523138431,8.32494946462406,8.43647254182561e-17,4.21749946108382e-15,"NEUTRAL","p<0.05"
"42","ChAd","ChAd (V1, D3)","GSE201533","B2M","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,858144.62111417,0.421637112166409,0.0748782418847226,5.63096971234357,1.79199197821878e-08,3.69605396892637e-07,"NEUTRAL","p<0.05"
"43","BNT","BNT-MO (V3, D1)","GSE199750","B2M","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,108974.907323151,0.727276697701943,0.106213749316026,6.8472933342935,7.5260299921436e-12,7.81446601844348e-10,"NEUTRAL","p<0.05"
"44","ChAd","ChAd-BNT (V2, D7)","GSE201533","B2M","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,858144.62111417,-0.363393011317704,0.0774062060685676,-4.69462372301007,2.67097913928146e-06,4.95406101879841e-05,"NEUTRAL","p<0.05"
"45","BBIBP","BBIBP (V3, D07)","GSE206023","B2M","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,6566.98908765151,-0.299635669174157,0.133672464953018,-2.24156612417876,0.0249894274327606,1,"NEUTRAL","p<0.05"
"46","ChAd","ChAd (V2, D1)","GSE199750","B2M","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,108974.907323151,0.491136888216112,0.127501411884681,3.85201136957074,0.00011715158216863,0.00220094240180194,"NEUTRAL","p<0.05"
"47","BBIBP","BBIBP (V3, D07)","GSE206023","BCL10","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,52.9056838862573,-0.243688044260481,0.124034210563405,-1.96468412346536,0.049450808630691,1,"NEUTRAL","p<0.05"
"48","BBIBP","BBIBP (V3, D28)","GSE206023","BCL10","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,52.9056838862573,-0.251960487542144,0.125582706139143,-2.00633108879639,0.0448209352091821,1,"NEUTRAL","p<0.05"
"49","BNT","BNT-MO (V3, D1)","GSE199750","BCL10","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,586.052358815463,0.591803787208897,0.106829487035187,5.53970447329745,3.02982499880496e-08,1.11258974433469e-06,"NEUTRAL","p<0.05"
"50","BNT","BNT (V3, D1)","GSE199750","BCL10","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,586.052358815463,0.217705753108265,0.0789460158102777,2.75765345310716,0.00582178808760407,0.0273543578489787,"NEUTRAL","p<0.05"
"51","ChAd","ChAd-BNT (V2, D7)","GSE201533","BCL10","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1877.6354286452,-0.374300636805041,0.104633895395815,-3.57724077259205,0.00034724030147473,0.00265453893424684,"NEUTRAL","p<0.05"
"52","BNT","BNT-MO (V3, D1)","GSE199750","BPI","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,98.3688848774592,0.822675012645599,0.333415403025704,2.46741753734208,0.0136091563511237,0.0459512728792985,"NEUTRAL","p<0.05"
"53","BNT","BNT (V3, D1)","GSE199750","BPI","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,98.3688848774592,0.96049462198648,0.245541489828493,3.91174062948535,9.16332937806333e-05,0.00098593494962133,"NEUTRAL","p<0.05"
"54","ChAd","ChAd-BNT (V2, D7)","GSE201533","BPIFB3","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1.35966437694012,-2.63200716504843,0.936642878611367,-2.81004342759809,0.00495348155662839,0.0224075209419162,"DOWN","p<0.05"
"55","BNT","BNT (V3, D1)","GSE199750","BST2","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,805.076349067162,0.978887553047301,0.125146399399203,7.82193940654067,5.20156471782862e-15,6.12506039789897e-13,"NEUTRAL","p<0.05"
"56","ChAd","ChAd (V1, D7)","GSE201533","BST2","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,5515.88401378075,-0.340721045727298,0.0857582290725854,-3.97304199739145,7.09605317300334e-05,0.00130608121272293,"NEUTRAL","p<0.05"
"57","BNT","BNT (V2, D1)","GSE199750","BST2","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,805.076349067162,1.12335232590805,0.0894883185671685,12.5530610463407,3.82434911980772e-36,9.02704097392964e-34,"UP","p<0.05"
"58","BNT","BNT-MO (V3, D1)","GSE199750","BST2","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,805.076349067162,1.16431332303003,0.169706778772859,6.86073550773355,6.85069011365764e-12,7.2562234279234e-10,"UP","p<0.05"
"59","ChAd","ChAd-BNT (V3, D1)","GSE199750","BST2","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,805.076349067162,1.15964092232829,0.261305565210108,4.43787303724611,9.08521792632567e-06,0.00050391319428677,"UP","p<0.05"
"60","ChAd","ChAd (V1, D3)","GSE201533","BST2","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,5515.88401378075,0.93562039835699,0.122443311098405,7.64125365415066,2.15116789806807e-14,1.67791096049309e-12,"NEUTRAL","p<0.05"
"61","ChAd","ChAd (V2, D1)","GSE199750","BST2","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,805.076349067162,1.30578534503735,0.203307572394635,6.4227088526871,1.33870389357619e-10,2.27213520672102e-08,"UP","p<0.05"
"62","ChAd","ChAd-BNT (V2, D3)","GSE201533","BST2","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,5515.88401378075,1.01366876906669,0.162178285986237,6.25033593678939,4.09570768118841e-10,3.24184533086328e-08,"UP","p<0.05"
"63","ChAd","ChAd (V2, D1)","GSE199750","BTK","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,979.6581917348,0.38906822606078,0.0919675889705297,4.23049283357264,2.33179872877808e-05,0.00062574133994696,"NEUTRAL","p<0.05"
"64","ChAd","ChAd (V1, D3)","GSE201533","BTK","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,8453.17547826542,0.543662816448398,0.0916274297504896,5.9334068185569,2.96712426906484e-09,7.51569518463125e-08,"NEUTRAL","p<0.05"
"65","BNT","BNT-MO (V3, D1)","GSE199750","BTK","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,979.6581917348,0.279811817690328,0.0783542527637768,3.57111206884848,0.00035546874666839,0.00245658040730377,"NEUTRAL","p<0.05"
"66","ChAd","ChAd-BNT (V2, D3)","GSE201533","BTK","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,8453.17547826542,0.505873349664483,0.121363265094071,4.1682575800212,3.06936967428373e-05,0.00050718433260458,"NEUTRAL","p<0.05"
"67","ChAd","ChAd-BNT (V3, D1)","GSE199750","BTK","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,979.6581917348,0.378475583052481,0.120383516386761,3.1439153333629,0.00166703664143691,0.0233322355865344,"NEUTRAL","p<0.05"
"68","BNT","BNT (V3, D1)","GSE199750","BTK","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,979.6581917348,0.312371470439944,0.0576059189784403,5.42255858389921,5.87519499596235e-08,1.74418817077316e-06,"NEUTRAL","p<0.05"
"69","BNT","BNT (V2, D1)","GSE199750","BTK","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,979.6581917348,0.337778104206527,0.0404873900655082,8.34279768737884,7.25532327465643e-17,3.65094245486887e-15,"NEUTRAL","p<0.05"
"70","ChAd","ChAd (V1, D7)","GSE201533","C1QBP","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1665.41691886117,0.130842989839896,0.0462876168765593,2.82673852466482,0.00470247079803044,0.0357982650884029,"NEUTRAL","p<0.05"
"71","BNT","BNT-MO (V3, D1)","GSE199750","C1R","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,43.3152209835273,0.744676260062008,0.176507468071059,4.21895043988855,2.45442212600861e-05,0.00027874089209056,"NEUTRAL","p<0.05"
"72","BNT","BNT (V2, D1)","GSE199750","C1R","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,43.3152209835273,0.317584111481705,0.0933162534309097,3.40330971085161,0.00066574768920797,0.0031762782021475,"NEUTRAL","p<0.05"
"73","ChAd","ChAd (V1, D7)","GSE201533","C1R","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,128.063768791629,0.35452406084703,0.079481062316727,4.46048468041701,8.17745044565127e-06,0.00021664611828051,"NEUTRAL","p<0.05"
"74","ChAd","ChAd (V2, D1)","GSE199750","C1R","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,43.3152209835273,0.600214922896735,0.213368969056256,2.81303755439004,0.00490759192628838,0.0350557411770628,"NEUTRAL","p<0.05"
"75","BBIBP","BBIBP (V3, D14)","GSE206023","C4B","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1.05746672520554,2.36616647710994,1.06275070096007,2.226454873163,0.0259837284639033,1,"UP","p<0.05"
"76","BNT","BNT (V3, D1)","GSE199750","C4B","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,20.2593118439758,0.998177487373839,0.30984494985897,3.2215386690284,0.00127504255271759,0.00819620217327884,"NEUTRAL","p<0.05"
"77","BNT","BNT-MO (V3, D1)","GSE199750","C4BPB","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2.09694292771703,1.31140345257775,0.520569489767412,2.51917078959753,0.0117631583743968,0.0409621431051604,"UP","p<0.05"
"78","BNT","BNT (V3, D1)","GSE199750","CAMP","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,132.543123088532,0.671800219404505,0.237474261022399,2.82893908801822,0.00467025868451178,0.0230645999419258,"NEUTRAL","p<0.05"
"79","ZF2001","ZF2001 (V3, D14)","GSE206023","CAMP","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1.33346216707488,2.08421474709242,1.00554001842105,2.0727317748777,0.0381972489088282,NA,"UP","p<0.05"
"80","BNT","BNT-MO (V3, D1)","GSE199750","CASP4","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,4007.08643376395,0.941647571983196,0.166437944391408,5.65764961485434,1.53460024084578e-08,6.26866354196655e-07,"NEUTRAL","p<0.05"
"81","ChAd","ChAd (V1, D3)","GSE201533","CASP4","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,12945.2736874212,0.330723576431252,0.0892908054227395,3.70389285733811,0.00021231596116443,0.00134578604729057,"NEUTRAL","p<0.05"
"82","ChAd","ChAd-BNT (V3, D1)","GSE199750","CASP4","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,4007.08643376395,1.05118636528825,0.256276675997662,4.10176369424208,4.10012891081487e-05,0.00155477167218434,"UP","p<0.05"
"83","BNT","BNT (V3, D1)","GSE199750","CASP4","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,4007.08643376395,0.792560316191192,0.122643552546181,6.46230722885134,1.03118467302946e-10,5.6309094658329e-09,"NEUTRAL","p<0.05"
"84","BNT","BNT (V2, D1)","GSE199750","CASP4","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,4007.08643376395,0.722282520453466,0.0869932679205532,8.30274040415509,1.0173701077277e-16,5.0310380100504e-15,"NEUTRAL","p<0.05"
"85","ChAd","ChAd-BNT (V2, D3)","GSE201533","CASP4","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,12945.2736874212,0.656528276600082,0.118257009423203,5.55170708106257,2.82893336110717e-08,1.38452173708741e-06,"NEUTRAL","p<0.05"
"86","ChAd","ChAd (V2, D1)","GSE199750","CASP4","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,4007.08643376395,0.728110977592362,0.197907547447514,3.67904603428759,0.00023410801213757,0.00369254718429546,"NEUTRAL","p<0.05"
"87","ChAd","ChAd-BNT (V2, D7)","GSE201533","CD14","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,8328.20634603192,-0.495835593186306,0.182482645990974,-2.71716573646587,0.006584362697911,0.0279258284744477,"NEUTRAL","p<0.05"
"88","BNT","BNT (V3, D1)","GSE199750","CD14","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2780.07544234859,0.301253175955702,0.1057707222065,2.84817168372506,0.00439711966757533,0.0220200732604307,"NEUTRAL","p<0.05"
"89","ChAd","ChAd (V1, D3)","GSE201533","CD14","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,8328.20634603192,0.680806556765812,0.176483772834349,3.85761560868732,0.00011449852707356,0.00080148968951496,"NEUTRAL","p<0.05"
"90","BNT","BNT-MO (V3, D1)","GSE199750","CD160","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,119.64287081131,-0.947582164239344,0.256934863092628,-3.68802486682288,0.00022600156811382,0.00170313230343337,"NEUTRAL","p<0.05"
"91","BNT","BNT (V2, D1)","GSE199750","CD160","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,119.64287081131,-0.389995844273709,0.132496843376502,-2.94343498558302,0.00324591991991895,0.0124091805788052,"NEUTRAL","p<0.05"
"92","BNT","BNT (V3, D1)","GSE199750","CD160","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,119.64287081131,-0.509924563165455,0.18704810333401,-2.72616805023085,0.00640743664721408,0.0295987116018049,"NEUTRAL","p<0.05"
"93","ChAd","ChAd (V1, D7)","GSE201533","CD160","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1985.78541064611,-0.399936621586736,0.122939030515336,-3.25312978238302,0.00114141352492376,0.0123129263815948,"NEUTRAL","p<0.05"
"94","BNT","BNT (V2, D1)","GSE199750","CD1D","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,381.65131012151,0.382715502858559,0.069571307892865,5.50105373105698,3.77528127928602e-08,5.33243924556031e-07,"NEUTRAL","p<0.05"
"95","BBIBP","BBIBP (V3, D14)","GSE206023","CD1D","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,1.94843807744131,1.56487294440874,0.705092235078663,2.21938757307993,0.0264603683595578,1,"UP","p<0.05"
"96","ChAd","ChAd (V1, D3)","GSE201533","CD1D","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,2246.68370193564,0.690641754754508,0.133879417952604,5.15868507136034,2.48690209016974e-07,3.79228452167388e-06,"NEUTRAL","p<0.05"
"97","ChAd","ChAd (V2, D1)","GSE199750","CD1D","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,381.65131012151,0.540089239327267,0.157517169929677,3.42876423927872,0.00060633598215024,0.00760140147319417,"NEUTRAL","p<0.05"
"98","ChAd","ChAd-BNT (V3, D1)","GSE199750","CD1D","INNATE IMMUNE RESPONSE","Innate immune response","Innate","General","Innate","GO:0045087",250,381.65131012151,0.624321407030458,0.202231383340664,3.08716380572235,0.00202076208370474,0.0265196775634872,"NEUTRAL","p<0.05"
